Date,Close,Volume,Open,High,Low,Company,day,month,year,quarter
3/8/2022,150.76,11878440,150.66,158.34,147.88,Qualcomm Incorporated,8,3,2022,1
3/7/2022,150.1,13416100,162.32,163.16,150,Qualcomm Incorporated,7,3,2022,1
3/4/2022,162.26,9059191,163.85,166.07,159.89,Qualcomm Incorporated,4,3,2022,1
3/3/2022,165.35,8553861,170.67,170.825,164.5,Qualcomm Incorporated,3,3,2022,1
3/2/2022,169.25,7299414,165.25,170.49,164.35,Qualcomm Incorporated,2,3,2022,1
3/1/2022,163.69,10723340,170.96,171.84,161.72,Qualcomm Incorporated,1,3,2022,1
2/28/2022,171.99,10638870,168.3,172.99,168.2,Qualcomm Incorporated,28,2,2022,1
2/25/2022,170.93,7350249,167.61,171.09,165.6,Qualcomm Incorporated,25,2,2022,1
2/24/2022,167.98,12566980,156.89,168.36,155.79,Qualcomm Incorporated,24,2,2022,1
2/23/2022,161.62,9748987,166.65,169.16,161.32,Qualcomm Incorporated,23,2,2022,1
2/22/2022,165.89,9835460,164.059,169.96,163.6,Qualcomm Incorporated,22,2,2022,1
2/18/2022,167.64,9591679,167.47,170.445,164.24,Qualcomm Incorporated,18,2,2022,1
2/17/2022,166.8,8878864,169.875,170.77,166.7,Qualcomm Incorporated,17,2,2022,1
2/16/2022,172.6,8340579,170.68,173.2083,168.26,Qualcomm Incorporated,16,2,2022,1
2/15/2022,173,11103160,169,173.96,168.25,Qualcomm Incorporated,15,2,2022,1
2/14/2022,165.13,8381702,165.35,167.85,162.48,Qualcomm Incorporated,14,2,2022,1
2/11/2022,164.64,13572010,174.7,175.48,163.55,Qualcomm Incorporated,11,2,2022,1
2/10/2022,174.07,14362160,179.4,181.99,173.45,Qualcomm Incorporated,10,2,2022,1
2/9/2022,183.95,9666910,181.4,184,178.95,Qualcomm Incorporated,9,2,2022,1
2/8/2022,178.59,10163940,174.305,179.2899,173.98,Qualcomm Incorporated,8,2,2022,1
2/7/2022,175.09,10376350,179.665,180.65,174.44,Qualcomm Incorporated,7,2,2022,1
2/4/2022,179.47,15708360,178.99,182.41,176.81,Qualcomm Incorporated,4,2,2022,1
2/3/2022,179.1,36120200,180.8,192.1,177.29,Qualcomm Incorporated,3,2,2022,1
2/2/2022,188.2,25646260,180.94,188.64,180.26,Qualcomm Incorporated,2,2,2022,1
2/1/2022,177.13,9724551,176.4447,177.4292,173.105,Qualcomm Incorporated,1,2,2022,1
1/31/2022,175.76,11273470,167.06,175.95,165.8,Qualcomm Incorporated,31,1,2022,1
1/28/2022,166.81,10320820,162.01,166.94,157.38,Qualcomm Incorporated,28,1,2022,1
1/27/2022,161.2,10743020,169.31,171.45,160.61,Qualcomm Incorporated,27,1,2022,1
1/26/2022,167,10492240,168.58,174.55,163.9,Qualcomm Incorporated,26,1,2022,1
1/25/2022,165.45,10708460,166.17,170.32,161.2,Qualcomm Incorporated,25,1,2022,1
1/24/2022,170.07,17531650,162.18,170.82,158.6037,Qualcomm Incorporated,24,1,2022,1
1/21/2022,164.93,11898690,166.24,172.04,164.57,Qualcomm Incorporated,21,1,2022,1
1/20/2022,166.5,9468486,174.53,174.99,166.29,Qualcomm Incorporated,20,1,2022,1
1/19/2022,172.47,10082730,180.57,181.2099,172.27,Qualcomm Incorporated,19,1,2022,1
1/18/2022,178.86,10483100,185.87,186,178.27,Qualcomm Incorporated,18,1,2022,1
1/14/2022,188.69,9587265,182.8,190.09,182.01,Qualcomm Incorporated,14,1,2022,1
1/13/2022,183.89,10190900,188.7,191.58,183.285,Qualcomm Incorporated,13,1,2022,1
1/12/2022,186.42,7317544,186.6,189.46,185.1852,Qualcomm Incorporated,12,1,2022,1
1/11/2022,185.4,9590950,179.19,185.65,177.22,Qualcomm Incorporated,11,1,2022,1
1/10/2022,179.68,11159270,178.27,180,173.76,Qualcomm Incorporated,10,1,2022,1
